SMILES,NumberOfAtom,Complement,PCE,VOC,JSC,FF,HOMO_Th,LUMO_Th,BandGap_Th
CC1(C)c2cc(C=C(C#N)C#N)sc2-c2sc(C=C(C#N)C#N)cc21,4,C60,0.0005,0.623,0.036,24,-0.248,-0.149,-0.099
CN1C(=O)C2=C(c3ccc(C=Cc4ccc(C(F)(F)F)cc4)s3)N(C)C(=O)C2=C1c1ccc(C=Cc2ccc(C(F)(F)F)cc2)s1,17,C60,3.4,0.86,5.26,43,-0.197,-0.119176471,-0.077823529
Cc1c(C)c(-c2ccc(C3=S=C(c4ccc(C=C(C#N)C#N)s4)C(C)=C3C)s2)sc1-c1ccc(C=C(C#N)C#N)s1,16,C60,3.4,1,10.6,49,-0.218125,-0.129,-0.089125
Cc1nc(-c2nc(C)c(-c3ccc(-c4ccc5c(c4)C(C)(C)c4ccccc4-5)s3)s2)sc1-c1cccs1,13,C60,0.52,0.76,1.7,40,-0.199,-0.090153846,-0.108846154
Cn1c2ccc(C=C(C#N)C#N)cc2c2cc(C=C(C#N)C#N)ccc21,4,C60,0.05,0.154,0.859,28,-0.25275,-0.119,-0.13375
Cc1ccc(-c2ccc(-c3ccc(-c4ccc(N(c5ccc(-c6ccc(-c7ccc(-c8ccc(C)s8)s7)s6)cc5)c5ccc(-c6ccc(-c7ccc(-c8ccc(C)s8)s7)s6)cc5)cc4)s3)s2)s1,14,C60,0.36,0.68,1.73,29,-0.183071429,-0.077142857,-0.105928571
C(=C1Sc2ccccc2S1)c1ccc(N(c2ccc(C=C3Sc4ccccc4S3)cc2)c2ccc(C=C3Sc4ccccc4S3)cc2)cc1,17,C60,0.11,0.4,0.87,32,-0.176,-0.047941176,-0.128058824
Cn1c2cc(C=C(C#N)C#N)sc2c2sc(C=C(C#N)C#N)cc21,9,C60,0.24,0.515,1.21,39,-0.248,-0.146,-0.102
CN1C(=O)C2=C(c3ccc(-c4ccc(C(F)(F)F)cc4)s3)N(C)C(=O)C2=C1c1ccc(-c2ccc(C(F)(F)F)cc2)s1,11,C60,0.3,0.48,1.91,35,-0.203,-0.118090909,-0.084909091
C=Cc1cc(OC)c(C=Cc2ccc(N(c3ccccc3)c3ccc(C=C(C#N)c4ccc([N+](=O)[O-])cc4)cc3)cc2)cc1OC,19,PC61BM,4.06,0.87,8.35,56,-0.200368421,-0.104842105,-0.095526316
C[Si]1(C)c2ccccc2-c2ccc(-c3ccc(-c4ccc(-c5cccs5)c5nsnc54)s3)cc21,17,PC61BM,5.4,0.9,9.5,51,-0.201117647,-0.105,-0.096117647
CC1(C)c2ccccc2-c2ccc(-c3ccc(C4=C(c5ccccc5)C(c5ccccc5)=C(c5cccs5)[Si]4(C)C)s3)cc21,5,PC61BM,2.01,0.65,8.67,35.8,-0.1884,-0.0828,-0.1056
Cc1csc(-c2c3nsnc3c(-c3cc(C)c(-c4cc5c(s4)c(C)c4ccsc4c5C)s3)c(F)c2F)c1,15,PC61BM,7.2,0.91,12.91,61.2,-0.198266667,-0.109933333,-0.088333333
CC1(C)c2ccccc2-c2ccc(-c3ccc(-c4ccc(-c5cccs5)c5c4=NC(c4ccccc4)C(c4ccccc4)N=5)s3)cc21,19,PC61BM,2.06,0.94,4.33,51,-0.195473684,-0.114578947,-0.080894737
COC(=O)c1sc2csc(-c3sc4c(c3F)c(OC)c3scc(F)c3c4OC)c2c1F,16,PC61BM,2.7,0.75,9.1,39.4,-0.21,-0.0943125,-0.1156875
COC(=O)c1cc2csc(-c3cccs3)c2s1,4,PC61BM,1,,,,-0.2115,-0.078,-0.1335
Cc1nc(-c2nc(C)c(-c3ccc(C4=S=C5c6sccc6C(C)(C)C5=C4)s3)s2)sc1-c1cccs1,17,PC61BM,3.04,0.7,8,53.7,-0.190294118,-0.091470588,-0.098823529
COC(=O)c1cc2csc(-c3ccc(-c4ccc(-c5sccc5C)s4)s3)c2s1,11,PC61BM,1.3,0.51,6.61,37,-0.193818182,-0.084272727,-0.109545455
C(=Cc1ccc(N(c2ccccc2)c2ccccc2)cc1)c1ccc(-c2ccc(-c3ccc(C=Cc4ccc(N(c5ccccc5)c5ccccc5)cc4)s3)c3nsnc32)s1,18,PC61BM,0.26,0.76,0.87,33,-0.182777778,-0.104722222,-0.078055556
COc1c2sc(-c3ccc(C4=C5C(=O)N(C)C(c6cccs6)=C5C(=O)N4C)s3)cc2cc2c1cc1cc(-c3ccc(C4=C5C(=O)N(C)C(c6cccs6)=C5C(=O)N4C)s3)sc1c2OC,16,PC61BM,4.06,0.84,11.27,42,-0.190625,-0.112625,-0.078
COC(=O)c1cc2c(csc2-c2sc3c(c2F)c(OC)c2scc(F)c2c3OC)s1,16,PC61BM,3.2,0.68,11,43.4,-0.2078125,-0.0924375,-0.115375
N#CC(C#N)=Cc1ccc(-c2ccc(N(c3ccc(-c4ccc(C=Cc5cccs5)s4)cc3)c3ccc(-c4ccc(C=Cc5cccs5)s4)cc3)cc2)s1,18,PC61BM,0.49,0.72,1.97,34,-0.197166667,-0.113388889,-0.083777778
Cc1ccsc1-c1sc(-c2sc(C3=S=C(c4sccc4C)C(C)=C3)cc2C)c2nc3c(nc21)-c1cccc2cccc-3c12,16,PC61BM,0.34,0.535,2.01,31,-0.1888125,-0.0964375,-0.092375
COc1ccc(C#Cc2c3ccccc3c(C#Cc3ccc(OC)c(OC)c3)c3ccccc23)cc1OC,14,PC61BM,1.27,0.89,3.1,45,-0.192928571,-0.092928571,-0.1
COc1ccc(N(c2ccc(OC)cc2)c2cccc(-n3c4ccccc4c4ccc(-c5ccc(-c6c7nsnc7c(-c7cccs7)c7nc(-c8ccccc8)c(-c8ccccc8)nc76)s5)cc43)c2)cc1,20,PC61BM,0.6,0.41,5.16,29,-0.1884,-0.12165,-0.06675
COc1ccc(-c2nc3c(-c4scc5c4OCCO5)ccc(-c4sc(-c5ccc6c(c5)C(C)(C)c5ccccc5-6)c5c4OCCO5)c3nc2-c2ccc(OC)cc2)cc1,20,PC61BM,1.1,0.66,3.7,44,-0.18695,-0.07865,-0.1083
Cc1nc2c(nc1C)c(-c1ccc(-c3ccc4c5ccccc5n(C)c4c3)s1)sc2-c1cccs1,18,PC61BM,1,0.56,4.41,41,-0.1865,-0.0965,-0.09
Cc1cc(C=C2C(=O)N(C)C(=O)N(C)C2=O)sc1-c1cc(C)c(-c2cc(C)c(-c3ccc(-c4sc(-c5sc(C6=S=C(C=C7C(=O)N(C)C(=O)N(C)C7=O)C=C6C)cc5C)cc4C)s3)s2)s1,18,PC61BM,4.05,0.9,7.54,60,-0.196722222,-0.116555556,-0.080166667
Cc1csc(-c2ccc(-c3cc(C)c(-c4cc5c(s4)c(C)c4ccsc4c5C)s3)c3nsnc32)c1,16,PC61BM,5,0.87,10.03,57.3,-0.1959375,-0.1055625,-0.090375
Cn1c2ccccc2c2ccc(-c3ccc(-c4sc(-c5cccs5)c5nc(-c6ccccc6)c(-c6ccccc6)nc54)s3)cc21,9,PC61BM,0.9,0.62,3.94,37,-0.188,-0.102777778,-0.085222222
Cc1ccc(-n2c(-c3ccsc3)nc3c2c2ccc(C)cc2c2cc(C)ccc32)cc1,2,PC61BM,4.1,0.61,11.3,60,-0.198,-0.0415,-0.1565
CC1(C)c2cc(-c3ccc(-c4ccc(-c5ccc(C=C(C#N)C#N)s5)s4)s3)ccc2-c2ccc(N(c3ccccc3)c3ccccc3)cc21,14,PC61BM,2.12,0.89,6.25,38,-0.199928571,-0.119642857,-0.080285714
COc1ccc(C#Cc2ccc(C#Cc3ccc(-c4ccc(-c5ccc(C#Cc6ccc(C#Cc7ccc(OC)c(OC)c7)cc6)s5)c5nsnc54)s3)cc2)cc1OC,19,PC61BM,0.14,0.74,0.69,27,-0.196947368,-0.113526316,-0.083421053
COc1c2ccsc2c(OC)c2cc(-c3cc(C)c(-c4nc5sc(-c6sccc6C)nc5s4)s3)sc21,17,PC61BM,2.72,0.76,6.32,56.7,-0.199529412,-0.093,-0.106529412
COc1ccc(C#Cc2ccc(-c3ccc(-c4ccc(C#Cc5ccc(OC)c(OC)c5)s4)c4nsnc43)s2)cc1OC,15,PC61BM,0.66,0.88,2.2,34,-0.1968,-0.109466667,-0.087333333
C=Cc1cc(OC)c(C=Cc2cc(C=C(C#N)c3ccc([N+](=O)[O-])cc3)ccc2C=C(C#N)c2ccc([N+](=O)[O-])cc2)cc1OC,20,PC61BM,3.35,0.92,7,53,-0.21915,-0.13115,-0.088
CC1(C)c2ccsc2-c2sc(-c3ccc(-c4nc5sc(-c6cccs6)nc5s4)s3)cc21,16,PC61BM,2.23,0.692,7.14,45,-0.1940625,-0.09325,-0.1008125
C(=Cc1ccc(C=Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)c2nsnc21)c1ccc(N(c2ccccc2)c2ccccc2)cc1,16,PC61BM,0.35,0.84,1.25,34,-0.1856875,-0.0985,-0.0871875
CN1c2ccccc2Sc2cc(C=Cc3ccsc3-c3cccs3)ccc21,13,PC61BM,1,0.73,4.03,34,-0.192461538,-0.063846154,-0.128615385
COc1c2ccsc2c(OC)c2cc(-c3ccc(-c4sc(-c5cccs5)c5c4C(=O)N(C)C5=O)s3)sc21,15,PC61BM,0.95,0.76,2.9,43,-0.204066667,-0.0978,-0.106266667
COc1ccc(-c2nc3c(-c4cccs4)ccc(-c4ccc(-c5ccc6c(c5)C(C)(C)c5ccccc5-6)s4)c3nc2-c2ccc(OC)cc2)cc1,16,PC61BM,2.7,0.9,4.27,70,-0.1959375,-0.087125,-0.1088125
N#CC(C#N)=Cc1ccc(-c2ccc(N(c3ccc(-c4ccc(C=Cc5cccs5)s4)cc3)c3ccc(-c4ccc(C=C(C#N)C#N)s4)cc3)cc2)s1,14,PC61BM,1.17,0.89,3.65,36,-0.208428571,-0.124,-0.084428571
COc1c2ccsc2c(OC)c2cc(-c3ccc(-c4c5nonc5c(-c5cccs5)c(OC)c4OC)s3)sc21,17,PC61BM,5.7,0.86,10.4,64.4,-0.197823529,-0.104764706,-0.093058824
Cn1c2ccccc2c2ccc(-c3ccc(-c4cnc(-c5cccs5)c5nccnc45)s3)cc21,14,PC61BM,1.1,0.9,2.6,44,-0.202,-0.103,-0.099
C#Cc1cc2c(s1)c1sc(C#Cc3cccc4nsnc43)cc1n2C,5,PC61BM,1.4,0.72,4.97,39,-0.202,-0.1016,-0.1004
COC(=O)N1C(=O)C2=C(c3ccc(-c4ccc(C5=S=C(C)C=C5)s4)s3)N(C(=O)OC)C(=O)C2=C1c1ccc(-c2ccc(-c3ccc(C)s3)s2)s1,16,PC61BM,2.3,0.67,8.42,45,-0.1880625,-0.1114375,-0.076625
COc1ccc(-c2nc3c(-c4cccs4)ccc(-c4ccc(-c5cc6c7c8c(cccc8CCc7c5)n6C)s4)c3nc2-c2ccc(OC)cc2)cc1,13,PC61BM,6.07,0.81,11.4,65.8,-0.191846154,-0.085076923,-0.106769231
c1csc(-c2ccsc2-c2cccs2)c1,2,PC61BM,0.58,0.714,2.09,40,-0.2175,-0.0515,-0.166
COc1ccc(-c2nc3c(nc2-c2ccc(OC)cc2)c(-c2ccc(-c4ccc5c(c4)C(C)(C)c4ccccc4-5)s2)sc3-c2cccs2)cc1,16,PC61BM,2.2,0.59,8.88,42,-0.1849375,-0.0980625,-0.086875
CN1C(=O)C2=C(c3ccc(-c4ccc5c(c4)C(C)(C)c4ccccc4-5)s3)N(C)C(=O)C2=C1c1cccs1,10,PC61BM,0.9,0.74,2.5,47,-0.1913,-0.1018,-0.0895
COC(=O)C(C#N)=Cc1cc(C)c(-c2cc(C)c(-c3cc(C)c(-c4ccc(-c5sc(-c6sc(-c7sc(C=C(C#N)C(=O)OC)cc7C)cc6C)cc5C)s4)s3)s2)s1,20,PC61BM,5.08,0.86,10.74,55,-0.19635,-0.11425,-0.0821
Cc1ccsc1-c1sc(-c2sc(C3=S=C(c4sccc4C)C=C3C)cc2C)c2nc3c4ccccc4c4ccccc4c3nc21,15,PC61BM,0.14,0.375,0.64,60,-0.1874,-0.105,-0.0824
COC(=O)C(C#N)=Cc1cc(C)c(-c2cc(C)c(-c3cc(C)c(-c4cc5cc6sc(-c7sc(-c8sc(-c9sc(C=C(C#N)C(=O)OC)cc9C)cc8C)cc7C)cc6cc5s4)s3)s2)s1,20,PC61BM,5.44,0.93,9.77,59.9,-0.19885,-0.1137,-0.08515
CC1(C)c2ccccc2-c2ccc(-c3cc4c5cccc6c7cccc8c9cc(-c%10ccc%11c(c%10)C(C)(C)c%10ccccc%10-%11)cc%10c%11cccc%12c%13cccc%14c(c3)c4c3c(c65)c(c78)c(c9%10)c(c%12%11)c3c%13%14)cc21,8,PC61BM,1.46,0.9,2.68,61,-0.206,-0.0755,-0.1305
C#Cc1sc(C#Cc2scc3nc(-c4ccccc4)c(-c4ccccc4)nc23)c(C)c1C,8,PC61BM,2.37,0.67,10.7,33,-0.205,-0.100875,-0.104125
Cc1ccsc1-c1nc2sc(-c3sc(-c4cc(C)c(-c5nc6sc(-c7sccc7C)nc6s5)s4)cc3C)nc2s1,19,PC61BM,5.7,0.84,10.6,64,-0.197947368,-0.102789474,-0.095157895
CC1(C)c2cc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(C=C(C#N)C#N)s6)s5)s4)s3)ccc2-c2ccc(N(c3ccccc3)c3ccccc3)cc21,16,PC61BM,2.67,0.91,6.05,48,-0.197125,-0.120375,-0.07675
C#Cc1cc2c(s1)c1sc(C#Cc3scc4nc(-c5ccccc5)c(-c5ccccc5)nc34)cc1n2C,8,PC61BM,1.74,0.74,5.87,40,-0.194875,-0.10075,-0.094125
Cc1ccsc1-c1sc(-c2sc(-c3ccc4c(c3)C(C)(C)c3ccccc3-4)cc2C)c2nc3c4ccccc4c4ccccc4c3nc21,17,PC61BM,0.57,0.485,2.28,52,-0.195705882,-0.104882353,-0.090823529
COc1c2ccsc2c(OC)c2cc(-c3sc(-c4scc5c4C4C=CC5CC4(C)C)c4c3C3C=CC4C(C)(C)C3)sc21,20,PC61BM,0.008,0.44,0.075,24,-0.19695,-0.0647,-0.13225
COC(=O)C(C#N)=Cc1cc(C)c(-c2cc(C)c(-c3ccc(-c4sc(-c5sc(C=C(C#N)C(=O)OC)cc5C)cc4C)s3)s2)s1,17,PC61BM,3.27,0.88,7.02,53,-0.206235294,-0.118058824,-0.088176471
Cc1csc(-c2ccc(-c3cc(C)cs3)c3nsnc32)c1,10,PC61BM,,,,,-0.2067,-0.1019,-0.1048
COC(=O)C(C#N)=Cc1cc(C)c(-c2ccc(-c3sc(-c4cc5c(s4)c(OC)c4cc(-c6cc(C)c(-c7ccc(-c8sc(C=C(C#N)C(=O)OC)cc8C)s7)s6)sc4c5OC)cc3C)s2)s1,20,PC61BM,4.56,0.95,8,60,-0.19935,-0.1138,-0.08555
COC(=O)c1cc2csc(-c3cc4c(s3)c(C)c3ccsc3c4C)c2s1,7,PC61BM,5.8,0.72,13.9,59,-0.201428571,-0.081428571,-0.12
CC1(C)c2ccccc2-c2cc3c(cc21)-c1cc2c(cc1C3(C)C)-c1ccc(-c3ccc(-c4ccc(-c5cccs5)c5nsnc54)s3)cc1C2(C)C,15,PC61BM,4.5,1.04,10.3,42,-0.196266667,-0.1044,-0.091866667
COc1cccc(-c2nc3cccc(-c4cccs4)c3nc2-c2cccc(OC)c2)c1,13,PC61BM,5.8,0.91,9.4,68,-0.222076923,-0.083076923,-0.139
COc1cccc(-c2nc3c(-c4cccs4)ccc(-c4ccc(-c5ccc6c(c5)C(C)(C)c5ccccc5-6)s4)c3nc2-c2cccc(OC)c2)c1,18,PC61BM,3.7,1,6,63,-0.198722222,-0.092166667,-0.106555556
C(=Cc1ccc(-c2ccc(N(c3ccc(-c4ccc(C=Cc5cccs5)s4)cc3)c3ccc(-c4ccc(C=Cc5cccs5)s4)cc3)cc2)s1)c1cccs1,20,PC61BM,0.46,0.48,2.33,41,-0.1849,-0.07935,-0.10555
Cn1c2ccccc2c2ccc(-c3ccc(-c4ccc(-c5cccs5)c5nonc54)s3)cc21,16,PC61BM,1.8,0.95,3,56,-0.2051875,-0.107375,-0.0978125
Cn1c2ccccc2c2ccc(-c3ccc(-c4cnc(-c5cccs5)c5nonc54)s3)cc21,16,PC61BM,0.8,0.85,1.4,60,-0.208125,-0.11725,-0.090875
COc1ccc(N(c2ccc(OC)cc2)c2ccc(C3c4ccccc4-c4ccc(-c5ccc(-c6c7nsnc7c(-c7cccs7)c7nc(-c8ccccc8)c(-c8ccccc8)nc76)s5)cc43)cc2)cc1,20,PC61BM,0.6,0.41,5.16,29,-0.1867,-0.12275,-0.06395
COc1csc2c1C(C)(C)c1cc(-c3scc4c3C(=O)N(C)C4=O)sc1-2,6,PC61BM,3,0.76,8.12,50,-0.207,-0.0855,-0.1215
COC(=O)c1cc2csc(-c3ccc(-c4ccc(-c5sc(-c6ccc(-c7sccc7C)s6)cc5C)s4)s3)c2s1,14,PC61BM,1.4,0.54,6.64,40,-0.1865,-0.088642857,-0.097857143
COc1ccsc1-c1ccc(-c2sc(-c3ccc4c(c3)C(C)(C)c3ccccc3-4)cc2OC)c2nsnc21,14,PC61BM,1.6,0.76,4.31,48.6,-0.191,-0.088142857,-0.102857143
C=Cc1ccc2c3ccc(C=Cc4cccs4)cc3n(-c3ccc(OC)cc3)c2c1,8,PC61BM,0.4,0.7,1.08,45,-0.199375,-0.06825,-0.131125
Cc1c2cc(-c3ccc(-c4c5nn(C)nc5c(-c5cccs5)c(F)c4F)s3)sc2c(C)c2ccsc21,17,PC61BM,6.81,0.79,11.83,72.9,-0.198,-0.092941176,-0.105058824
Cc1csc(-c2cc(-c3ccc(C)s3)c(-c3ccc(C4=C5C(=O)N(C)C(c6cccs6)=C5C(=O)N4C)s3)s2)c1,15,PC61BM,2.4,0.65,8,46,-0.188666667,-0.102866667,-0.0858
C[Si]1(C)c2ccccc2-c2ccc(-c3ccc(-c4ccc(C5=C(c6ccccc6)C(c6ccccc6)=C(c6ccc(-c7cccs7)s6)[Si]5(C)C)s4)s3)cc21,17,PC61BM,1.33,0.75,4.55,39,-0.182647059,-0.090764706,-0.091882353
c1csc(-c2ccc(-c3ccc(-c4c(-c5ccc(-c6cccs6)s5)sc(-c5ccc(-c6cccs6)s5)c4-c4ccc(-c5ccc(-c6cccs6)s5)s4)s3)s2)c1,20,PC61BM,0.8,0.85,3.65,26,-0.19415,-0.08415,-0.11
Cc1ccsc1-c1ccc(-c2ccc(-c3sccc3C)s2)s1,13,PC61BM,0.5,0.48,0.18,40,-0.194153846,-0.072384615,-0.121769231
C(=Cc1cccc2nsnc21)c1ccc(N(c2ccc(C=Cc3cccc4nsnc43)cc2)c2ccc(C=Cc3cccc4nsnc43)cc2)cc1,17,PC61BM,0.61,0.93,1.54,43,-0.196,-0.100764706,-0.095235294
Cc1c2cc(-c3ccc(-c4ccc(-c5cccs5)c5nn(C)nc54)s3)sc2c(C)c2ccsc21,18,PC61BM,4.3,0.7,11.14,55.2,-0.194277778,-0.088722222,-0.105555556
Cc1csc(-c2sc(-c3cc(C)c(-c4cccs4)s3)c3sc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc23)c1,18,PC61BM,2.4,0.59,10.2,40,-0.196888889,-0.092666667,-0.104222222
COc1ccc(C=Cc2ccc(C=Cc3cc(OC)c(C=Cc4ccc(C=Cc5cc(OC)c(C=Cc6ccc(C=Cc7cc(OC)c(C=O)cc7OC)s6)cc5OC)s4)cc3OC)s2)cc1,4,PC61BM,0.81,0.51,3.93,38,-0.179,-0.093,-0.086
COC(=O)C(C#N)=Cc1cc(C)c(-c2ccc(-c3sc(-c4ccc5c(c4)C(C)(C)c4cc(-c6cc(C)c(-c7ccc(-c8sc(C=C(C#N)C(=O)OC)cc8C)s7)s6)ccc4-5)cc3C)s2)s1,20,PC61BM,2.38,1.07,4.54,49,-0.20205,-0.11115,-0.0909
CC1(C)c2ccccc2-c2cc3c(cc21)-c1ccc(-c2ccc(-c4ccc(-c5cccs5)c5c4=NC(c4ccccc4)C(c4ccccc4)N=5)s2)cc1C3(C)C,16,PC61BM,3.04,1,7.57,40,-0.1941875,-0.11425,-0.0799375
Cc1nc2c(-c3cccs3)nnc(-c3ccc(-c4ccc5c6ccccc6n(C)c5c4)s3)c2nc1C,15,PC61BM,0.4,0.91,0.86,44,-0.203,-0.102133333,-0.100866667
COc1cc(OC)cc(-c2nc3c(nc2-c2cc(OC)cc(OC)c2)c(-c2cccs2)sc3-c2cccs2)c1,14,PC61BM,1.01,0.56,3.1,58,-0.1925,-0.097642857,-0.094857143
N#CC(C#N)=Cc1ccc(-c2ccc(N(c3ccc(-c4ccc(C=C(C#N)C#N)s4)cc3)c3ccc(-c4ccc(C=C(C#N)C#N)s4)cc3)cc2)s1,16,PC61BM,1.02,0.96,3.65,29,-0.231,-0.131,-0.1
CC1(C)c2ccccc2-c2ccc(-c3ccc(N(c4ccccc4)c4ccc(C=Cc5ccc(C=C(C#N)C#N)s5)cc4)cc3)cc21,14,PC61BM,4.74,0.99,9.62,50,-0.206142857,-0.114642857,-0.0915
Cc1cc(-c2ccc(-c3cc(C)c(-c4cccs4)s3)c3nsnc32)sc1-c1cccs1,16,PC61BM,2.6,0.74,5.6,63,-0.194625,-0.105875,-0.08875
CSc1ccc(-c2ccc(-c3ccc([Si](c4ccc(-c5ccc(-c6ccc(SC)s6)s5)s4)(c4ccc(-c5ccc(-c6ccc(SC)s6)s5)s4)c4ccc(-c5ccc(-c6ccc(SC)s6)s5)s4)s3)s2)s1,20,PC61BM,0.3,0.85,1.41,24,-0.20375,-0.0815,-0.12225
Cn1c(-c2ccc(-c3cccc4nsnc43)s2)ccc1C1=S=CC=C1,15,PC61BM,1,0.72,3.1,37,-0.1954,-0.098,-0.0974
